date,rmse,mae,r2,mape,n_samples
2024-01-05,113.10110211139518,62.177065967932464,0.5667715482423658,28.987904225245526,1573
2024-01-06,112.53210329539364,61.386043732083934,0.5619159226567629,28.324640382507294,1573
2024-01-07,107.46200779453481,57.1894312739549,0.5466057868173415,27.505245213120507,1573
2024-01-08,106.00690581221276,56.410380494218174,0.5419813245818241,27.732681350242807,1573
2024-01-09,105.854107492353,56.10166883701034,0.5403236227650046,27.590896918823404,1573
2024-01-10,105.81894015729921,56.15225793749985,0.5404532703165297,27.538729294585146,1573
2024-01-11,106.1021733264328,56.50655540810674,0.5401451440256627,27.816239592736224,1573
2024-01-12,106.15381609585212,56.77148207195433,0.5602486204018042,27.75771152500904,1573
2024-01-13,106.23805437508871,56.65807344711895,0.5610202323174415,27.328648695193884,1573
2024-01-14,104.47624257079168,55.401120692902026,0.5503531156344379,27.431065739168776,1573
2024-01-15,103.6786690647374,55.174542735253986,0.5498062798776062,27.730318778058244,1573
2024-01-16,105.71275468853541,55.911122698176584,0.5429085912492109,27.712988178109804,1573
2024-01-17,105.91953220229637,55.986053913825394,0.5452874275255261,27.628558022669203,1573
2024-01-18,106.21235635503697,56.30798652117018,0.5450263436606331,27.741744812394813,1573
2024-01-19,107.1697813175036,57.93812172290101,0.557083227150923,28.24028368906403,1573
2024-01-20,108.43448834356768,58.01387983056594,0.5497827107803833,27.7567844934265,1573
2024-01-21,105.61151822140096,56.207798296780275,0.5390417279311053,27.693356257578213,1573
2024-01-22,106.88378507771623,56.40479691237255,0.5335236620340189,27.525472581790407,1573
2024-01-23,106.87758125673182,56.69787252401492,0.5357902430192287,27.77302768567807,1573
2024-01-24,109.6016471897964,58.02277515166441,0.5271633391190367,28.091970523162306,1573
2024-01-25,109.6350150616581,57.920269808695465,0.5291313492315395,28.114679959129386,1573
2024-01-26,115.04822090784768,60.48950662065245,0.5188716876965587,28.234495908324746,1573
2024-01-27,115.80512107919789,60.511405186977484,0.5168110121651317,28.030953574187205,1573
2024-01-28,111.92990389506024,58.36113662461049,0.507684917535348,27.84177507736597,1573
2024-01-29,110.69955874586896,57.97153699809804,0.5127725872710974,27.763698306568855,1573
2024-01-30,107.62031847450702,57.11551078696148,0.5235453671777648,27.694733808733385,1573
2024-01-31,108.41741525593592,57.33055688850352,0.5196994114584242,27.64527559390301,1573
2024-02-01,112.17849564070994,58.12950828990382,0.5064875685574203,27.54267266655835,1573
2024-02-02,110.84143734114447,57.66313179632091,0.5406658175484766,26.84942496130359,1573
2024-02-03,111.55416092692042,57.87346372303252,0.536742882166565,26.607887905538906,1573
2024-02-04,108.31462333232655,55.876455753226985,0.5315869523800729,26.540113304748903,1573
2024-02-05,108.84333716956836,55.979018304125184,0.5312093552857535,26.509414939399967,1573
2024-02-06,109.58717849615678,56.193380142021134,0.5267793780039987,26.427990442620626,1573
2024-02-07,111.15320526146151,56.4131553708105,0.5189270890631917,26.29557602747965,1573
2024-02-08,110.8840054912304,56.73285508847989,0.5217336762478815,26.42703310957073,1573
