learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,mean_rmse,mean_mae,mean_r2,mean_mape
0.05,6,3,0.85,0.6,28.134929953134467,7.375734748234825,0.967262481658923,2.4962030714216565
0.03,6,1,0.7,0.8,28.572044544114913,7.714809390880442,0.9663629159880246,2.723553011372857
0.05,6,3,0.85,0.8,28.634999563529245,7.6792046743725955,0.9661894163904494,2.6599331478962407
0.05,6,2,0.85,0.6,28.855364978465758,7.630582314950448,0.9654304087900341,2.6247520873928583
0.03,6,2,0.85,0.6,28.86564853756697,7.457780914104804,0.9655902879864053,2.5457837385010142
0.05,8,3,0.7,0.6,28.9097417317778,7.399120787161367,0.964980252187661,2.581373413882626
0.05,6,2,0.7,0.6,28.911076828932018,7.484208229307145,0.9652733918004329,2.5563414060116694
0.03,6,2,0.7,0.8,28.95552624383688,7.852309891836981,0.9653948147001705,2.766270633015628
0.03,6,1,0.85,0.6,28.96474346627813,7.509004417096497,0.965432853182087,2.536513931028333
0.05,6,1,0.85,0.6,28.972409115809782,7.553806960898102,0.9653902795455662,2.553822899229443
0.03,6,3,0.7,0.8,29.116747126511008,7.836462381756494,0.9648394763096054,2.760812694977897
0.03,6,3,0.85,0.6,29.15205326542415,7.549718401671718,0.9649399583051079,2.549307668433234
0.03,6,1,0.85,0.8,29.219454102510568,7.873863433757155,0.9647946473199747,2.7339965760604574
0.03,6,3,0.7,0.6,29.247320118356956,7.537442663889083,0.9642191357883032,2.564799701567398
0.03,6,2,0.85,0.8,29.28974544223111,7.849631723878243,0.9644147978460746,2.7193325219214595
0.05,8,1,0.7,0.6,29.31351246536054,7.501424279389558,0.9645965024943679,2.6087637286263066
0.05,6,3,0.7,0.6,29.315063582536744,7.658093008818449,0.9646618315611354,2.6164647847610256
0.03,6,1,0.7,0.6,29.424639936749383,7.691802635596542,0.9644070321673115,2.632561562810852
0.03,6,2,0.7,0.6,29.452796579109187,7.737629079263677,0.9642664978988911,2.6278307310040034
0.05,6,3,0.7,0.8,29.471716812680455,8.03502589614303,0.9640262924959445,2.7911064037991293
0.05,6,1,0.7,0.6,29.47835335410168,7.731876502869621,0.9646041393706284,2.649196645638049
0.03,6,3,0.85,0.8,29.485665516496006,7.913210328924592,0.9640312597651318,2.7354064570025485
0.05,8,1,0.85,0.6,29.493712223418502,7.562143484852301,0.9640718125975712,2.634483422012761
0.05,8,2,0.7,0.6,29.627366602620807,7.550913836564967,0.9635290025616425,2.62456902791293
0.03,8,1,0.7,0.8,29.832156896771306,7.631323181838585,0.9633901272058775,2.742569192212807
0.05,6,1,0.7,0.8,29.84858374882767,7.972921992912495,0.9633935966824437,2.785783862670049
0.03,8,1,0.7,0.6,29.9221864765103,7.580169899350121,0.9631426848405498,2.5995711722795347
0.05,8,2,0.85,0.6,29.950449594450543,7.561765177489589,0.9626472744993466,2.6268992495417294
0.05,6,2,0.85,0.8,29.988327030531927,7.9408099829456775,0.9631617955567459,2.737626625812573
0.05,6,1,0.85,0.8,30.184104729083174,8.070477671345705,0.9629936193718585,2.758487885037293
