feature,importance,split
DTF_season_sin_-0.6772399381909491,0.0,0
DTF_season_sin_-0.666088855860977,0.0,0
DTF_season_sin_-0.6644834655228552,0.0,0
DTF_season_sin_-0.65316012232693,0.0,0
DTF_season_sin_-0.6515303615068021,0.0,0
DTF_season_sin_-0.6400381082043503,0.0,0
DTF_season_sin_-0.6383844591746642,0.0,0
DTF_season_sin_-0.6267266965083301,0.0,0
DTF_season_sin_-0.6250496486104377,0.0,0
DTF_season_sin_-0.6132298262997502,0.0,0
DTF_season_sin_-0.6115298757991053,0.0,0
DTF_season_sin_-0.5995514915196489,0.0,0
DTF_season_sin_-0.5978291414589552,0.0,0
DTF_season_sin_-0.5856957398073508,0.0,0
DTF_season_sin_-0.5839514998576998,0.0,0
DTF_season_sin_-0.5699010576127624,0.0,0
DTF_season_sin_-0.5556819724760489,0.0,0
DTF_season_sin_-0.5412984521036173,0.0,0
DTF_season_sin_-0.5267547528105542,0.0,0
DTF_season_sin_-0.5120551783114646,0.0,0
DTF_season_sin_-0.4972040784469378,0.0,0
DTF_season_sin_-0.4822058478963526,0.0,0
DTF_season_sin_-0.4670649248774303,0.0,0
DTF_season_sin_-0.451785789832884,0.0,0
DTF_season_sin_-0.4363729641045924,0.0,0
DTF_season_sin_-0.4208310085956556,0.0,0
DTF_season_sin_-0.4051645224207563,0.0,0
DTF_season_sin_-0.3893781415452015,0.0,0
DTF_season_sin_-0.3734765374130707,0.0,0
DTF_season_sin_-0.3574644155648614,0.0,0
DTF_season_sin_-0.3413465142450361,0.0,0
DTF_season_sin_-0.3251276029999093,0.0,0
DTF_season_sin_-0.3088124812662537,0.0,0
DTF_season_sin_-0.2924059769510773,0.0,0
DTF_season_sin_-0.2759129450029604,0.0,0
DTF_season_sin_-0.2593382659754056,0.0,0
DTF_season_sin_-0.2426868445825954,0.0,0
DTF_season_sin_-0.225963608248019,0.0,0
DTF_season_sin_-0.2091735056463563,0.0,0
DTF_season_sin_-0.1923215052390948,0.0,0
DTF_season_sin_-0.1754125938042784,0.0,0
DTF_season_sin_-0.1584517749608363,0.0,0
DTF_season_sin_-0.141444067687942,0.0,0
DTF_season_sin_-0.1243945048397999,0.0,0
DTF_season_sin_-0.1073081316563624,0.0,0
