,count,frequency
Trash compactor,241,0.39056169578323013
Private hot tub,241,0.39056169578323013
Childrens books and toys for ages 0-2 years old and 2-5 years old,239,0.38732051988461413
Lake access,235,0.3808381680873821
Paid parking garage on premises  1 space,234,0.3792175801380741
"Coffee maker: espresso machine, Nespresso",221,0.35814993679706997
Stainless steel single oven,218,0.35328817294914594
Free parking garage on premises  1 space,208,0.3370822934560659
Mosquito net,200,0.3241175898616018
"Coffee maker: drip coffee maker, Nespresso",198,0.3208764139629858
"Clothing storage: closet, wardrobe, and dresser",197,0.31925582601367775
Clothing storage: dresser and closet,196,0.3176352380643698
Canal view,193,0.3127734742164457
"Coffee maker: drip coffee maker, espresso machine",187,0.3030499465205977
Paid parking lot off premises,184,0.29818818267267366
Clothing storage: wardrobe and closet,179,0.2900852429261336
Baby monitor,177,0.2868440670275176
Childrens books and toys for ages 0-2 years old,176,0.28522347907820955
"Coffee maker: french press, Nespresso",174,0.28198230317959355
Shared gym nearby,173,0.2803617152302856
Window AC unit,173,0.2803617152302856
Clothing storage: wardrobe and dresser,173,0.2803617152302856
Clothing storage: walk-in closet and dresser,173,0.2803617152302856
Bose Bluetooth sound system,171,0.2771205393316695
Free washer  In building,170,0.27549995138236155
TV with Netflix,153,0.24794995624412539
Exercise equipment: yoga mat,147,0.2382264285482773
Hammock,147,0.2382264285482773
Standalone high chair - always at the listing,144,0.23336466470035327
Samsung refrigerator,142,0.23012348880173727
River view,142,0.23012348880173727
Free dryer  In building,137,0.22202054905519722
Private backyard,135,0.21877937315658122
Clothing storage: closet and walk-in closet,134,0.2171587852072732
"Clothing storage: walk-in closet, closet, and wardrobe",133,0.2155381972579652
Paid washer  In unit,130,0.21067643341004116
Changing table - always at the listing,124,0.20095290571419314
"Clothing storage: walk-in closet, closet, wardrobe, and dresser",123,0.19933231776488508
Shared backyard  Not fully fenced,120,0.19447055391696108
Pool,120,0.19447055391696108
"Coffee maker: espresso machine, french press",120,0.19447055391696108
Clothing storage: walk-in closet and wardrobe,117,0.18960879006903705
AC - split type ductless system,113,0.18312643827180503
