test_listing_id,neighbor_listing_id,rank,distance
970788786340998612,904852872778984513,1,1.3113021850585938e-06
970788786340998612,878016485639914603,2,1.3232231140136719e-05
970788786340998612,949151210347007343,3,1.5735626220703125e-05
970788786340998612,893421998137342908,4,1.9431114196777344e-05
970788786340998612,857004870947221995,5,3.3855438232421875e-05
722295902862800863,51439814,1,1.4185905456542969e-05
722295902862800863,786697054321974534,2,1.430511474609375e-05
722295902862800863,846322669044068092,3,1.5497207641601562e-05
722295902862800863,904511585173174954,4,1.895427703857422e-05
722295902862800863,899860446398731228,5,1.919269561767578e-05
42872351,21742737,1,0.00026541948318481445
42872351,45382422,2,0.00027692317962646484
42872351,8978922,3,0.00028187036514282227
42872351,24198620,4,0.0003547072410583496
42872351,21263004,5,0.00037425756454467773
766340613857732372,30104009,1,0.0011409521102905273
887608690833020898,640489944112369179,1,0.015591800212860107
22338975,35338346,1,0.0011006593704223633
42875452,40359841,1,0.0013115406036376953
42877461,37035458,1,6.99758529663086e-05
42877461,15696188,2,9.608268737792969e-05
42877461,32273800,3,0.00013756752014160156
42877461,7374949,4,0.00014853477478027344
42877461,35575679,5,0.0001506805419921875
22320649,27219722,1,9.894371032714844e-05
22320649,18221125,2,0.00012290477752685547
22320649,9606893,3,0.00014460086822509766
22320649,35570479,4,0.0001577138900756836
22320649,13984725,5,0.0001735687255859375
765773245312227990,52890054,1,0.00017535686492919922
765773245312227990,775178177572448604,2,0.00018095970153808594
765773245312227990,887540444054210441,3,0.00020897388458251953
765773245312227990,906567353951086168,4,0.0002200603485107422
765773245312227990,836720573916318779,5,0.00022149085998535156
887613958317148226,640489944112369179,1,0.018272876739501953
42913429,13257328,1,0.00010478496551513672
42913429,35635932,2,0.00012928247451782227
42913429,44201737,3,0.00014024972915649414
42913429,10259415,4,0.0001417994499206543
42913429,17351571,5,0.00014466047286987305
765087226743352760,556591413121047703,1,0.035102128982543945
42980671,49986980,1,0.007322490215301514
5940508,805550221196320327,1,0.00016891956329345703
5940508,781231820927734734,2,0.00019288063049316406
5940508,795369701713979146,3,0.00022661685943603516
5940508,24361829,4,0.00024580955505371094
5940508,680270106016890517,5,0.0002490878105163574
22263838,18021051,1,0.000265657901763916
22263838,44029463,2,0.0003058314323425293
22263838,14216386,3,0.0003345608711242676
22263838,11927043,4,0.0003460049629211426
22263838,31402935,5,0.00038236379623413086
43067923,14913053,1,2.193450927734375e-05
43067923,19558294,2,4.7087669372558594e-05
43067923,4333496,3,7.617473602294922e-05
43067923,30921663,4,8.0108642578125e-05
43067923,7079209,5,9.119510650634766e-05
888897194698223323,19774165,1,0.00017452239990234375
888897194698223323,957867650499202155,2,0.00017493963241577148
888897194698223323,53490571,3,0.00018227100372314453
888897194698223323,686849020554492519,4,0.00019598007202148438
888897194698223323,617775430964684668,5,0.0001996755599975586
764916262966887154,688817314443030174,1,6.765127182006836e-05
764916262966887154,862983371516382393,2,7.468461990356445e-05
764916262966887154,542557564879803263,3,7.480382919311523e-05
764916262966887154,658585099599345818,4,7.480382919311523e-05
764916262966887154,696898058069220762,5,7.605552673339844e-05
22259628,31482047,1,0.0002339482307434082
43173595,21468999,1,0.0007297396659851074
43264937,43274748,1,0.0
3516878,11371704,1,2.0563602447509766e-05
3516878,3008464,2,4.929304122924805e-05
3516878,29029524,3,7.152557373046875e-05
3516878,13287363,4,8.034706115722656e-05
3516878,18291057,5,8.612871170043945e-05
764616370081598531,873692197123973527,1,0.0016124844551086426
888977721328784236,841158810132064744,1,1.239776611328125e-05
888977721328784236,46506547,2,1.9073486328125e-05
888977721328784236,609846374574026541,3,2.3603439331054688e-05
888977721328784236,909104064875624312,4,3.4809112548828125e-05
888977721328784236,25265262,5,3.910064697265625e-05
22189270,43371763,1,7.796287536621094e-05
22189270,42225414,2,8.028745651245117e-05
22189270,17988493,3,9.453296661376953e-05
22189270,32959823,4,0.00013113021850585938
22189270,6385021,5,0.0001335740089416504
22171949,17042702,1,0.0013072490692138672
43315405,50688989,1,1.1920928955078125e-05
43315405,741881462118748930,2,1.3470649719238281e-05
43315405,781562458222432310,3,6.985664367675781e-05
43315405,785439290349308510,4,7.355213165283203e-05
43315405,839024577868423251,5,0.00010538101196289062
764510837680707791,804860397777609617,1,0.0002434253692626953
764510837680707791,941403724868294818,2,0.0002757906913757324
764510837680707791,46589429,3,0.00029414892196655273
764510837680707791,645593957341664917,4,0.00035876035690307617
22524270,647103834397680012,1,0.0004665851593017578
42872260,744759774497736019,1,0.0015159845352172852
22578704,896858236566094635,1,0.0008196830749511719
767175377875200990,18483019,1,8.702278137207031e-06
767175377875200990,6312377,2,1.5020370483398438e-05
767175377875200990,940197351771105098,3,2.372264862060547e-05
767175377875200990,838360294382643570,4,2.5391578674316406e-05
767175377875200990,21644654,5,2.682209014892578e-05
3517762,34809968,1,0.0026358962059020996
885403159357312429,909091096923348046,1,1.3828277587890625e-05
885403159357312429,940497189024183408,2,3.349781036376953e-05
885403159357312429,47713799,3,3.4332275390625e-05
885403159357312429,604152081477400986,4,3.707408905029297e-05
885403159357312429,44741625,5,6.276369094848633e-05
42583566,722051190960014088,1,0.00012117624282836914
42583566,31850414,2,0.00014275312423706055
42583566,47408165,3,0.00015974044799804688
42583566,5681532,4,0.00016039609909057617
42583566,23908656,5,0.00019174814224243164
22990557,33796909,1,0.005091071128845215
42687164,34676366,1,0.0011630058288574219
1144028,675999083733572358,1,1.6868114471435547e-05
1144028,781612648765056387,2,2.1755695343017578e-05
1144028,51403733,3,2.9325485229492188e-05
1144028,659928653295729987,4,2.9742717742919922e-05
1144028,719260404175973778,5,2.9981136322021484e-05
767884912455439707,883340609667615475,1,0.00012093782424926758
767884912455439707,26345876,2,0.00019115209579467773
767884912455439707,46409445,3,0.0002053380012512207
767884912455439707,776524840365928536,4,0.0002104640007019043
767884912455439707,32549947,5,0.00032967329025268555
886663952804278282,604299577553116709,1,0.0002853274345397949
886663952804278282,3940526,2,0.0003307461738586426
886663952804278282,763127437191832462,3,0.00034373998641967773
22874733,35767920,1,0.009277582168579102
42728694,609989235164101800,1,3.916025161743164e-05
42728694,47482440,2,4.1425228118896484e-05
42728694,886149937477177451,3,7.456541061401367e-05
42728694,940201798921313646,4,7.587671279907227e-05
42728694,41681043,5,7.659196853637695e-05
22822670,747680586638391286,1,0.00015413761138916016
22822670,44167847,2,0.00019556283950805664
22822670,804601707026257073,3,0.0002778768539428711
22822670,923818339245873951,4,0.0003064870834350586
22822670,759867425850753561,5,0.0003095865249633789
42787711,41908200,1,5.5789947509765625e-05
42787711,2928599,2,8.386373519897461e-05
42787711,13742624,3,0.0001304149627685547
42787711,13469312,4,0.0001348257064819336
42787711,24132559,5,0.00015485286712646484
887469110588726107,43742097,1,5.5789947509765625e-05
887469110588726107,693457890366065895,2,0.00015676021575927734
887469110588726107,32443496,3,0.00017344951629638672
887469110588726107,656843679688225699,4,0.0001742839813232422
887469110588726107,52435969,5,0.00017940998077392578
766399824361354412,44329331,1,1.6927719116210938e-05
766399824361354412,53661721,2,1.990795135498047e-05
766399824361354412,53539916,3,2.288818359375e-05
766399824361354412,52435533,4,2.3066997528076172e-05
766399824361354412,798267443019812683,5,2.7179718017578125e-05
42803270,51556358,1,0.0045122504234313965
22755127,805550221196320327,1,0.0009313821792602539
42856282,42876064,1,2.384185791015625e-07
766484080428950181,704825084817101913,1,2.8967857360839844e-05
766484080428950181,10375823,2,3.975629806518555e-05
766484080428950181,725843974277875070,3,6.0558319091796875e-05
766484080428950181,755609993956592661,4,6.794929504394531e-05
766484080428950181,755671228928586640,5,6.949901580810547e-05
22632871,9530275,1,0.001483142375946045
42856549,42876064,1,2.384185791015625e-07
887547464545911355,590446818020270486,1,0.0003069639205932617
887547464545911355,732341246656872621,2,0.0004004836082458496
766416144882476908,807036290462183130,1,5.960464477539063e-08
766416144882476908,820749935109078490,2,5.960464477539062e-07
766416144882476908,847671587365797030,3,1.6689300537109375e-06
766416144882476908,816523194719089620,4,1.823902130126953e-05
766416144882476908,767084065910486117,5,1.990795135498047e-05
22587073,878002084997032919,1,0.002158045768737793
42872217,574364534579298678,1,8.869171142578125e-05
42872217,574364456191874006,2,8.916854858398438e-05
42872217,943239342175892116,3,9.584426879882812e-05
42872217,52099195,4,0.00010645389556884766
42872217,741876763026142540,5,0.00010693073272705078
551560,25104319,1,0.01327979564666748
42872236,574364456191874006,1,8.481740951538086e-05
42872236,574364534579298678,2,8.541345596313477e-05
42872236,943239342175892116,3,9.447336196899414e-05
42872236,810758614148890955,4,0.0001055598258972168
42872236,572293537485608794,5,0.0001055598258972168
889000004547632535,16479419,1,0.0001252889633178711
889000004547632535,848226058379831115,2,0.00018036365509033203
889000004547632535,885933446495346279,3,0.0002956986427307129
889000004547632535,611975179990324351,4,0.00030672550201416016
889000004547632535,518163111519912149,5,0.0003070235252380371
43330162,53303435,1,0.032274723052978516
22155598,30011605,1,6.54458999633789e-05
22155598,20610629,2,8.684396743774414e-05
22155598,33989126,3,9.113550186157227e-05
22155598,12490816,4,0.00010192394256591797
22155598,42068685,5,0.00010436773300170898
21643108,24003884,1,7.271766662597656e-05
21643108,27344281,2,0.0001093149185180664
21643108,6840946,3,0.00011944770812988281
21643108,44063080,4,0.0001442432403564453
